Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1,Rayane Aabid\13792bac,fr FRA,MF,Yeni Mal'spor,29,1992,22,21,1856,20.6,1,2,1,0,0,3,0,0.05,0.10,0.15,0.05,0.15,Matches
2,Rayane Aabid\13792bac,fr FRA,MF,Kasımpaşa,29,1992,12,5,421,4.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
3,Patrick van Aanholt\5f09991f,nl NED,DF,Galatasaray,30,1990,35,33,2780,30.9,2,2,2,0,1,3,0,0.06,0.06,0.13,0.06,0.13,Matches
4,Sam Adekugbe\7f2309be,ca CAN,DF,Hatayspor,26,1995,34,34,2927,32.5,0,2,0,0,0,9,1,0.00,0.06,0.06,0.00,0.06,Matches
5,Luiz Adriano\2557c196,br BRA,MFFW,Antalyaspor,34,1987,15,15,1202,13.4,4,2,4,0,0,3,0,0.30,0.15,0.45,0.30,0.45,Matches
6,Serhat Ahmetoğlu\7b1ef05a,tr TUR,DF,Fatih Karagümrük,19,2002,4,1,142,1.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
7,Serge Aka\961bd515,ci CIV,MF,Altay,26,1994,7,3,310,3.4,0,1,0,0,0,0,0,0.00,0.29,0.29,0.00,0.29,Matches
8,Eray Akar\a8ec8f5f,tr TUR,FW,Hatayspor,18,2003,1,0,23,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
9,Harun Akaydin\6b96f0a7,,DF,Kasımpaşa,,,1,1,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
10,Samet Akaydın\7328bee5,tr TUR,DF,Adana Demirspor,27,1994,33,33,2951,32.8,2,0,2,0,0,6,0,0.06,0.00,0.06,0.06,0.06,Matches
11,Emre Akbaba\7230b807,tr TUR,MF,Alanyaspor,28,1992,31,25,2246,25.0,10,4,10,0,0,4,0,0.40,0.16,0.56,0.40,0.56,Matches
12,Emre Akbaba\7230b807,tr TUR,MF,Galatasaray,28,1992,1,0,24,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
13,Arda Akbulut\74ed57e4,tr TUR,GK,Trabzonspor,20,2001,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
14,Halil Akbunar\88e9f529,tr TUR,MFFW,Göztepe,27,1993,32,29,2496,27.7,4,4,4,0,0,5,1,0.14,0.14,0.29,0.14,0.29,Matches
15,Murat Akça\4af5ef8e,tr TUR,DF,Altay,31,1990,26,26,2255,25.1,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matches
16,İbrahim Akdağ\fc8900d7,tr TUR,MF,Kayserispor,30,1991,32,28,2252,25.0,1,2,0,1,1,11,0,0.04,0.08,0.12,0.00,0.08,Matches
17,Yunus Akgün\1453e3cf,tr TUR,MF,Adana Demirspor,21,2000,34,31,2594,28.8,8,9,8,0,0,5,0,0.28,0.31,0.59,0.28,0.59,Matches
18,Babajide Akintola\5529e983,ng NGA,MF,Adana Demirspor,25,1996,26,12,1194,13.3,2,1,2,0,0,1,1,0.15,0.08,0.23,0.15,0.23,Matches
19,Gökhan Akkan\3587cb86,tr TUR,GK,Rizespor,26,1995,27,27,2386,26.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
20,Murat Akşit\9853d6e5,tr TUR,GK,Yeni Mal'spor,19,2002,1,0,14,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
21,Engin Aksoy\accd6cbe,tr TUR,MF,Hatayspor,17,2003,1,0,9,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
22,Fatih Aksoy\c6e7789b,tr TUR,DFMF,Alanyaspor,23,1997,32,31,2617,29.1,1,1,1,0,0,6,0,0.03,0.03,0.07,0.03,0.07,Matches
23,Kerem Aktürkoğlu\f28659fb,tr TUR,MFFW,Galatasaray,22,1998,37,33,2862,31.8,10,5,10,0,0,5,0,0.31,0.16,0.47,0.31,0.47,Matches
24,Ufuk Akyol\5adbafc0,de GER,MF,Antalyaspor,23,1997,7,2,228,2.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
25,Eren Albayrak\b02a8b91,tr TUR,DFMF,Antalyaspor,30,1991,6,0,82,0.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
26,Eren Albayrak\b02a8b91,tr TUR,DF,Rizespor,30,1991,11,10,776,8.6,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
27,Mehmet Albayrak\5076fdad,tr TUR,DF,Sivasspor,17,2004,1,1,60,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
28,Danijel Aleksić\d68cb24c,rs SRB,MF,Başakşehir,30,1991,32,16,1640,18.2,6,2,4,2,2,2,0,0.33,0.11,0.44,0.22,0.33,Matches
29,Doğan Alemdar\9e17ccff,tr TUR,GK,Kayserispor,18,2002,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
30,Hasan Ali Kaldırım\edd38473,tr TUR,DF,Başakşehir,31,1989,19,18,1472,16.4,0,2,0,0,0,3,0,0.00,0.12,0.12,0.00,0.12,Matches
31,Ömer Ali Şahiner\2b59d76f,tr TUR,DFMF,Başakşehir,29,1992,22,14,1120,12.4,0,1,0,0,0,7,1,0.00,0.08,0.08,0.00,0.08,Matches
32,Kerim Alıcı\50df83f7,tr TUR,DFMF,Göztepe,24,1997,27,19,1790,19.9,0,1,0,0,0,2,0,0.00,0.05,0.05,0.00,0.05,Matches
33,Barış Alper Yılmaz\414b2ce4,tr TUR,MFFW,Galatasaray,21,2000,17,3,319,3.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
34,Koray Altınay\26b88dab,tr TUR,DFMF,Sivasspor,29,1991,5,5,319,3.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
35,Kerem Altunisik\95d04bc7,tr TUR,MF,Yeni Mal'spor,17,2004,1,1,56,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
36,Amilton\28a2c1fe,br BRA,MF,Konyaspor,31,1989,14,9,645,7.2,1,0,1,0,0,2,1,0.14,0.00,0.14,0.14,0.14,Matches
37,Amilton\28a2c1fe,br BRA,MFFW,Antalyaspor,31,1989,18,11,828,9.2,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches
38,Wilker Ángel\1155a7ba,ve VEN,DF,Göztepe,28,1993,15,13,1216,13.5,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
39,Marin Aničić\f08a8947,ba BIH,DF,Konyaspor,31,1989,1,1,90,1.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
40,Taylan Antalyalı\4374d81c,tr TUR,MF,Galatasaray,26,1995,30,25,2043,22.7,0,0,0,0,0,6,1,0.00,0.00,0.00,0.00,0.00,Matches
41,Aaron Appindangoyé\3a7e7259,ga GAB,DF,Sivasspor,29,1992,4,3,254,2.8,0,1,0,0,0,1,0,0.00,0.35,0.35,0.00,0.35,Matches
42,Efe Arda Koyuncu\82e0f17c,tr TUR,DF,Başakşehir,16,2005,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
43,Firat Arslan\53d6cb2a,tr TUR,DF,Göztepe,18,2003,1,0,5,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
44,Hakan Arslan\2429a3ec,tr TUR,MF,Sivasspor,33,1988,31,24,2160,24.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
45,Dino Arslanagic\c83c2c9c,be BEL,DF,Göztepe,28,1993,31,31,2612,29.0,2,0,2,0,0,11,1,0.07,0.00,0.07,0.07,0.07,Matches
46,Vato Arveladze\81ce81a3,ge GEO,FW,Fatih Karagümrük,23,1998,6,0,151,1.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
47,Serkan Asan\ee47f156,tr TUR,DF,Trabzonspor,22,1999,10,3,281,3.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
48,Britt Assombalonga\315aa9c5,cd COD,FW,Adana Demirspor,28,1992,37,15,1738,19.3,10,2,8,2,4,4,0,0.52,0.10,0.62,0.41,0.52,Matches
49,Gustavo Assuncao\065c8786,pt POR,MF,Galatasaray,21,2000,2,1,135,1.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
50,Kerem Atakan Kesgin\b75a36e9,tr TUR,MF,Sivasspor,20,2000,22,14,1203,13.4,2,1,2,0,0,5,0,0.15,0.07,0.22,0.15,0.22,Matches
51,Daniel Avramovski\8fdebe11,mk MKD,MF,Kayserispor,26,1995,1,1,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
52,Chidozie Awaziem\70d8e84c,ng NGA,DF,Alanyaspor,24,1997,18,17,1523,16.9,1,0,1,0,0,9,0,0.06,0.00,0.06,0.06,0.06,Matches
53,Selim Ay\63a60d73,tr TUR,DF,Rizespor,30,1991,23,21,1969,21.9,4,0,4,0,0,6,0,0.18,0.00,0.18,0.18,0.18,Matches
54,Berat Ayberk Özdemir\90ba61ce,tr TUR,MF,Trabzonspor,23,1998,36,21,1722,19.1,0,1,0,0,0,2,0,0.00,0.05,0.05,0.00,0.05,Matches
55,Oğuz Aydın\a7b98226,tr TUR,MFFW,Alanyaspor,20,2000,20,5,607,6.7,6,0,6,0,0,2,0,0.89,0.00,0.89,0.89,0.89,Matches
56,Emirhan Aydoğan\f3171ee6,tr TUR,MF,Alanyaspor,24,1997,2,1,50,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
57,Soner Aydoğdu\d1d72821,tr TUR,MF,Göztepe,30,1991,32,27,2366,26.3,2,4,1,1,2,5,0,0.08,0.15,0.23,0.04,0.19,Matches
58,Sakıb Aytaç\2d5c3c04,tr TUR,DF,Kasımpaşa,29,1991,8,3,292,3.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
59,Serdar Aziz\8e34b9f5,tr TUR,DF,Fenerbahçe,30,1990,25,21,1794,19.9,2,1,2,0,0,9,0,0.10,0.05,0.15,0.10,0.15,Matches
60,Mame Baba Thiam\ec304819,sn SEN,MF,Kayserispor,28,1992,24,23,2044,22.7,11,4,8,3,3,1,0,0.48,0.18,0.66,0.35,0.53,Matches
61,Atalay Babacan\2e1ca4a1,tr TUR,MF,Galatasaray,21,2000,3,0,22,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
62,Volkan Babacan\6e905b8d,tr TUR,GK,Başakşehir,32,1988,31,31,2790,31.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
63,Khouma Babacar\422ec08a,sn SEN,FWMF,Alanyaspor,28,1993,16,5,528,5.9,3,0,3,0,0,1,0,0.51,0.00,0.51,0.51,0.51,Matches
64,Ryan Babel\6438d426,nl NED,MFFW,Galatasaray,34,1986,30,15,1575,17.5,3,1,2,1,1,3,0,0.17,0.06,0.23,0.11,0.17,Matches
65,Fabrício Baiano\d8a48dad,br BRA,MFDF,Rizespor,29,1992,28,26,2154,23.9,0,0,0,0,0,10,4,0.00,0.00,0.00,0.00,0.00,Matches
66,Anastasios Bakasetas\dead55e5,gr GRE,MF,Trabzonspor,28,1993,34,26,2272,25.2,8,4,5,3,5,5,0,0.32,0.16,0.48,0.20,0.36,Matches
67,Makana Baku\d2b262fe,de GER,MFFW,Göztepe,23,1998,20,8,799,8.9,2,1,2,0,0,0,0,0.23,0.11,0.34,0.23,0.34,Matches
68,Bünyamin Balcı\7d7b3e47,tr TUR,DFMF,Antalyaspor,21,2000,34,31,2740,30.4,2,3,2,0,0,2,0,0.07,0.10,0.16,0.07,0.16,Matches
69,Ethem Balcı\bcb7e621,tr TUR,MF,Kayserispor,18,2003,1,0,22,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
70,Ibrahima Baldé\573b6680,sn SEN,FW,Giresunspor,32,1989,33,12,1244,13.8,3,0,3,0,1,1,0,0.22,0.00,0.22,0.22,0.22,Matches
71,Jure Balkovec\1a787ee8,si SVN,DF,Fatih Karagümrük,26,1994,30,18,1842,20.5,1,2,1,0,0,4,0,0.05,0.10,0.15,0.05,0.15,Matches
72,Mario Balotelli\8ff07990,it ITA,FW,Adana Demirspor,30,1990,31,25,2092,23.2,18,4,14,4,4,10,1,0.77,0.17,0.95,0.60,0.77,Matches
73,Daouda Bamba\543e1eb6,ci CIV,FWMF,Altay,26,1995,32,22,1988,22.1,7,1,5,2,2,2,0,0.32,0.05,0.36,0.23,0.27,Matches
74,Rayyan Baniya\cfc4b498,it ITA,DF,Fatih Karagümrük,22,1999,2,0,13,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
75,Abdülkerim Bardakcı\5d9cff53,tr TUR,DF,Konyaspor,26,1994,33,33,2969,33.0,5,3,5,0,0,10,0,0.15,0.09,0.24,0.15,0.24,Matches
76,Sadık Baş\94c312f1,tr TUR,DFMF,Hatayspor,27,1994,19,11,934,10.4,0,3,0,0,0,1,0,0.00,0.29,0.29,0.00,0.29,Matches
77,Barış Başdaş\eb7f2e2a,tr TUR,DF,Yeni Mal'spor,31,1990,9,6,511,5.7,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matches
78,Emrah Başsan\78a07623,tr TUR,MF,Kayserispor,29,1992,31,25,1940,21.6,5,5,5,0,0,1,0,0.23,0.23,0.46,0.23,0.46,Matches
79,Michy Batshuayi\2973d8ff,be BEL,FW,Beşiktaş,27,1993,33,28,2413,26.8,14,3,10,4,6,6,0,0.52,0.11,0.63,0.37,0.48,Matches
80,Bilal Bayazit\f0a63d14,nl NED,GK,Kayserispor,22,1999,5,5,450,5.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
81,Altay Bayındır\072e68ed,tr TUR,GK,Fenerbahçe,23,1998,24,24,2141,23.8,0,1,0,0,0,2,0,0.00,0.04,0.04,0.00,0.04,Matches
82,Furkan Bayır\c94d9e06,tr TUR,DF,Alanyaspor,21,2000,15,13,1113,12.4,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
83,Emircan Bayrakdar\a4e7da0c,tr TUR,DF,Yeni Mal'spor,18,2003,1,0,7,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
84,Gökdeniz Bayrakdar\64e951fc,tr TUR,MFFW,Antalyaspor,19,2001,29,6,953,10.6,2,1,2,0,0,2,0,0.19,0.09,0.28,0.19,0.28,Matches
85,Ömer Bayram\7bcc0708,tr TUR,DF,Galatasaray,30,1991,21,8,949,10.5,0,2,0,0,0,4,0,0.00,0.19,0.19,0.00,0.19,Matches
86,Aziz Behich\b6867b96,au AUS,DF,Giresunspor,30,1990,34,32,2785,30.9,0,2,0,0,0,4,0,0.00,0.06,0.06,0.00,0.06,Matches
87,Burak Bekaroğlu\df47927c,tr TUR,DF,Fatih Karagümrük,24,1997,30,24,2193,24.4,1,0,1,0,0,6,1,0.04,0.00,0.04,0.04,0.04,Matches
88,Efkan Bekiroglu\6233f5f9,tr TUR,MF,Alanyaspor,25,1995,31,19,1502,16.7,3,2,3,0,0,4,0,0.18,0.12,0.30,0.18,0.30,Matches
89,Younès Belhanda\e204ec12,ma MAR,MF,Adana Demirspor,31,1990,22,14,1202,13.4,3,1,3,0,0,2,0,0.22,0.07,0.30,0.22,0.30,Matches
90,Mortadha Ben Ouannes\1798891a,tn TUN,MFDF,Kasımpaşa,27,1994,23,18,1498,16.6,3,6,3,0,0,4,0,0.18,0.36,0.54,0.18,0.54,Matches
91,Medhi Benatia\3b15ef2d,ma MAR,DF,Fatih Karagümrük,34,1987,6,5,325,3.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
92,Yassine Benzia\6fbde63a,dz ALG,MF,Hatayspor,26,1994,12,9,756,8.4,2,1,2,0,0,1,0,0.24,0.12,0.36,0.24,0.36,Matches
93,Mergim Berisha\eb6e14be,de GER,FWMF,Fenerbahçe,23,1998,22,10,1002,11.1,4,1,4,0,0,2,0,0.36,0.09,0.45,0.36,0.45,Matches
94,Bahattin Berke\428215b7,tr TUR,MF,Fatih Karagümrük,18,2002,1,0,8,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
95,Andrea Bertolacci\c75b6a02,it ITA,MFFW,Kayserispor,30,1991,10,7,623,6.9,1,0,1,0,0,3,0,0.14,0.00,0.14,0.14,0.14,Matches
96,Andrea Bertolacci\c75b6a02,it ITA,MF,Fatih Karagümrük,30,1991,15,14,1004,11.2,7,1,7,0,0,2,0,0.63,0.09,0.72,0.63,0.72,Matches
97,Lucas Biglia\5710a281,ar ARG,MF,Fatih Karagümrük,35,1986,33,33,2795,31.1,1,4,1,0,0,9,1,0.03,0.13,0.16,0.03,0.16,Matches
98,Hayrullah Bilazer\7d0a8876,tr TUR,DF,Giresunspor,26,1995,23,16,1384,15.4,1,3,1,0,0,2,0,0.07,0.20,0.26,0.07,0.26,Matches
99,Emre Bilgin\c93ca6cd,tr TUR,GK,Beşiktaş,17,2004,3,3,270,3.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
100,Tayfur Bingöl\ad163246,tr TUR,DFMF,Alanyaspor,28,1993,30,14,1582,17.6,3,10,3,0,0,7,1,0.17,0.57,0.74,0.17,0.74,Matches
101,Mame Biram Diouf\7f4f3e49,sn SEN,FW,Hatayspor,33,1987,35,34,3005,33.4,12,3,9,3,4,8,0,0.36,0.09,0.45,0.27,0.36,Matches
102,Davide Biraschi\64cd167d,it ITA,DF,Fatih Karagümrük,27,1994,14,13,1171,13.0,0,1,0,0,0,1,0,0.00,0.08,0.08,0.00,0.08,Matches
103,Kristijan Bistrović\79370f8c,hr CRO,MF,Fatih Karagümrük,23,1998,18,13,1119,12.4,1,1,1,0,0,3,0,0.08,0.08,0.16,0.08,0.16,Matches
104,André Biyogo Poko\77b8d8f1,ga GAB,MF,Altay,28,1993,30,26,2376,26.4,2,1,2,0,0,5,0,0.08,0.04,0.11,0.08,0.11,Matches
105,Birkir Bjarnason\da13074e,is ISL,MFFW,Adana Demirspor,33,1988,32,22,1842,20.5,5,1,5,0,0,2,0,0.24,0.05,0.29,0.24,0.29,Matches
106,Eric Björkander\141935d3,se SWE,DF,Altay,25,1996,24,21,1920,21.3,1,0,1,0,0,3,0,0.05,0.00,0.05,0.05,0.05,Matches
107,Sacha Boey\6c8ddd52,fr FRA,DF,Galatasaray,20,2000,13,12,1068,11.9,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
108,Ruud Boffin\ad19ca64,be BEL,GK,Antalyaspor,33,1987,37,37,3330,37.0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
109,Yannick Bolasie\715fc0fe,cd COD,MF,Rizespor,32,1989,27,14,1352,15.0,2,1,2,0,0,6,0,0.13,0.07,0.20,0.13,0.20,Matches
110,Fernando Boldrin\e552cdf1,br BRA,MF,Rizespor,32,1989,26,24,1938,21.5,1,5,1,0,1,4,0,0.05,0.23,0.28,0.05,0.28,Matches
111,Fabio Borini\ef5b337e,it ITA,MFFW,Fatih Karagümrük,30,1991,21,15,1468,16.3,3,3,2,1,1,4,0,0.18,0.18,0.37,0.12,0.31,Matches
112,Cristian Borja\9d7d5334,co COL,DFMF,Alanyaspor,28,1993,28,24,2160,24.0,1,0,1,0,0,1,0,0.04,0.00,0.04,0.04,0.04,Matches
113,Mehdi Boudjemaa\6e51bf28,dz ALG,MF,Hatayspor,23,1998,29,19,1766,19.6,0,1,0,0,0,9,1,0.00,0.05,0.05,0.00,0.05,Matches
114,Hijran Boyaci\98c486c1,tr TUR,MF,Adana Demirspor,16,2005,1,0,19,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
115,Tyler Boyd\f4b1e26f,us USA,MF,Rizespor,26,1994,29,23,1770,19.7,2,2,2,0,0,2,1,0.10,0.10,0.20,0.10,0.20,Matches
116,Can Bozdogan\b797f558,de GER,MF,Beşiktaş,20,2001,23,12,1129,12.5,1,1,1,0,0,3,0,0.08,0.08,0.16,0.08,0.16,Matches
117,Umut Bozok\6e2c94ad,tr TUR,FWMF,Kasımpaşa,24,1996,38,27,2538,28.2,20,7,15,5,6,3,0,0.71,0.25,0.96,0.53,0.78,Matches
118,Tomáš Břečka\55305521,cz CZE,DF,Kasımpaşa,27,1994,20,13,1073,11.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
119,Jeffrey Bruma\fbffc4b1,nl NED,DF,Kasımpaşa,29,1991,15,15,1326,14.7,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
120,Buluthan Bulut\99b83608,tr TUR,MF,Alanyaspor,19,2002,2,0,28,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
121,Onur Bulut\32e96d52,tr TUR,DF,Kayserispor,27,1994,34,31,2739,30.4,1,8,1,0,0,6,1,0.03,0.26,0.30,0.03,0.30,Matches
122,Mustafa Burak Bozan\c7deccc0,tr TUR,GK,Gaziantep FK,20,2000,4,3,279,3.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
123,Dženan Bureković\249aaaa2,ba BIH,MF,Göztepe,26,1995,9,3,245,2.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
124,Adem Büyük\720611fe,tr TUR,FWMF,Yeni Mal'spor,33,1987,21,18,1649,18.3,5,2,3,2,2,6,0,0.27,0.11,0.38,0.16,0.27,Matches
